term,counts
wearamask,253980
vacina,253233
director,252409
football,252194
january,251576
een,251478
records,250128
fda,249910
covid__19,249277
goes,248601
guess,247819
giving,247474
rally,246765
vaccin,245772
lie,245197
whitehouse,244909
fund,244803
और,244049
damn,242544
99,242245
calls,240736
lying,239798
happening,238258
ang,237927
después,236579
four,236049
meses,235358
tan,235111
rising,234904
madrid,234342
astrazeneca,233967
cuba,233729
vai,233676
ahead,232080
technology,231345
tax,231211
frente,228090
colombia,227633
sunday,227293
tuesday,224938
calling,224558
zu,224048
teachers,222664
vacunación,221238
facebook,220942
guys,218302
false,214581
vamos,213862
super,213475
thursday,213304
responsible,212870
ao,212255
tomorrow,212147
november,211922
name,211818
lack,210155
lab,210124
failure,209562
website,208656
año,208603
click,208371
bu,208151
task,207845
já,206484
300,205807
pence,205278
rel,204684
href,204509
positif,204212
nofollow,203659
republican,203519
brazil,202382
wednesday,202113
agree,201823
polri,201681
von,201007
challenges,200769
tracing,200556
mark,200512
hate,200429
senate,200336
delhi,200251
met,200191
germany,199956
august,199695
vaksin,199102
pmoindia,198588
moment,198290
médicos,197518
front,197162
december,196931
vaccinated,196209
gone,195444
pa,194977
weekend,194804
washington,194706
als,194616
isolation,193734
45,193568
stayathome,192358
novel,192306
faire,192131
september,192115
opening,191649
night,190569
longer,189251
atención,187796
fin,187206
tener,187191
resources,186791
child,186560
center,186417
forward,186344
covid2019,186198
summer,185975
favor,185248
recent,184954
mr,184136
ppl,184074
tout,183532
petition,183358
outside,183352
strain,180558
thinking,179955
masker,179756
fox,178741
entire,178559
handling,178539
allowed,178203
ada,176901
sarscov2,176423
op,175944
distance,174909
warns,174304
nurses,173362
send,173334
immune,172285
crise,172277
mind,172255
vaccinations,171911
masyarakat,171746
strategy,171062
pakistan,170174
message,169474
spain,169360
ny,169108
sigue,168991
red,168245
nyc,167906
concerns,167719
fait,166010
at,165496
absolutely,164849
primer,163674
biontech,163579
saturday,162981
web,162796
für,160994
chance,160151
yeah,159611
threat,159581
october,157942
phase,157890
happened,157873
google,157555
según,157371
trials,157107
guidance,156437
north,156358
jesus,156301
blog,155965
orders,155341
dat,154430
package,154189
plasma,154141
side,153072
special,152948
amazing,152612
reuters,152590
dose,152331
oct,151626
socialdistancing,151192
protection,150943
cost,150731
obama,149855
players,149658
woman,149570
biggest,149524
pelosi,149406
05,149114
covidvaccine,149065
oxford,148898
cover,148490
ontario,148183
worldwide,147864
ass,147254
receive,147202
potential,146933
briefing,146510
être,146137
chile,144797
college,144371
só,143934
icu,143825
kind,142726
along,140808
isso,140414
survey,140333
israel,140249
court,140200
riesgo,139142
towards,139139
currently,139139
trumpvirus,138607
cut,138023
auf,137945
slow,136827
se,136646
dosis,135862
ccp,134580
imagine,134481
restaurants,134330
porn,133800
trabajo,133760
stand,133429
korea,133105
takes,132895
rights,132396
body,132123
04,131140
cancer,131032
hai,130734
nov,130023
primera,129794
segunda,128562
japan,128420
06,128343
jan,128270
london,128190
1trenggalek,127730
comment,126930
count,125926
sent,125325
debate,125214
01,124307
hospitalizations,123651
07,122582
mayo,122530
final,122129
six,122064
seeing,121775
uso,121637
shot,121596
proud,121226
analysis,120542
georgia,120470
worth,120327
reality,120313
sono,120143
herd,119976
protest,119684
winter,119637
variants,119616
distribution,119483
received,119342
large,119340
inside,119109
cold,118344
forget,117085
covidiots,116214
thanksgiving,115902
momento,115054
sports,114861
mundial,114797
asked,114619
maga,114055
ich,114000
1st,113788
08,112326
running,111993
holiday,111936
decision,111824
junio,110981
tips,110962
โคว,110601
arizona,110204
vp,109955
agosto,109578
release,109449
cette,109155
tetap,108948
february,108311
victoria,108050
09,107466
donate,107329
на,107163
student,106665
todas,106559
cegah,106036
supply,105836
wish,105808
niet,105762
variante,105320
pemerintah,105273
dont,104988
rallies,104776
book,104745
aug,104359
released,103995
mexico,103953
works,103500
fase,102859
blacklivesmatter,101745
avoid,101076
racist,100905
heard,100142
gran,99821
actual,99809
viral,98909
treat,98846
cities,98717
mail,98496
causa,98233
funds,97738
ensure,97722
alone,97652
reduce,97351
rollout,97348
racism,97063
literally,96850
auch,96371
kasus,96059
macron,95848
experience,95602
dec,93528
della,93370
julio,93272
senatemajldr,93213
light,92723
blm,92401
idiot,92384
recorded,92254
private,92182
register,92164
wake,92106
cepa,92046
expert,91701
not,91619
por,91269
são,91114
five,91082
win,90888
voting,90851
नह,89691
are,89176
5g,88854
600,88451
bank,88136
cummings,88123
feb,87995
indian,87733
coronavirusoutbreak,87524
tiempos,87239
domingo,87227
02,86568
site,86537
severe,86272
men,85926
abc,85847
abril,85377
rapid,85207
exposed,84924
bars,84608
remdesivir,84474
speakerpelosi,83824
dio,83753
frontline,83738
comme,83636
enero,83358
toda,83325
prevención,83256
either,83217
tiempo,83125
saúde,82425
recuperados,82424
allah,82029
third,81524
church,81452
mandatory,81150
orang,80890
400,80864
increased,80034
governo,79759
focus,79754
contagiados,79620
zealand,79548
michigan,79336
created,79317
35,79279
conditions,79275
drrpnishank,78949
cashless,78925
stock,78799
paid,78547
finds,78011
tulsa,77959
drive,77774
jaga,77699
ka,77522
lunes,77413
exactly,76395
conspiracy,76362
antibody,76237
meaning,75784
bersama,75118
cara,74925
infectados,74768
pilkada,74266
modi,73180
alert,72888
iran,72847
he,72675
additional,72633
putin,72204
exams,71754
centre,71679
esse,71679
break,71560
words,71408
vaksinasi,71391
ayo,71032
tier,70890
expected,70779
answer,70766
diciembre,70245
saat,69679
adalah,69620
meeting,69198
pessoas,69116
airborne,68947
2nd,68839
ein,68636
ministro,68359
updated,68295
events,68256
lied,68164
nygovcuomo,67999
unido,67474
telling,67379
governors,67239
nurse,67110
changes,66851
tous,66829
loss,66684
reino,66045
military,65935
knows,65740
mondaythoughts,65685
falta,65681
protocols,65666
kamalaharris,65587
dios,65566
sweden,64979
ja,64796
mcconnell,64668
65,64573
75,64522
bisa,63518
europa,63483
septiembre,63376
aumento,63243
fraud,63224
starting,63150
mike,62990
ki,62973
nuevas,62538
sich,62354
ventilators,62314
beijing,62174
border,62118
waiting,61864
clinical,61704
disiplin,61546
ko,61215
viernes,61146
development,61043
dem,60915
tidak,60910
supplies,60867
approved,60733
sábado,60472
amazon,60413
leading,60336
masque,60182
asking,60038
folks,59803
wife,59795
nice,59749
supporters,59489
mga,59466
asymptomatic,59449
nunca,59352
period,59246
ban,58843
mencegah,58668
diagnosis,58309
floyd,57793
riots,57683
jarak,57679
octubre,57469
african,57425
dit,57345
protesters,57041
former,56871
tres,56852
class,56682
sputnik,56668
lopezobrador_,56619
battle,56608
loved,56458
brexit,56349
nfl,56285
sept,56249
sep,56056
turn,55785
kong,55284
govrondesantis,55228
dear,55180
pueblo,55124
known,55019
prime,54915
emergencia,54901
sind,54882
easter,54662
indiafightscorona,54652
hong,54651
george,54629
exam,54388
apple,54223
trumpknew,54116
wuhanvirus,53784
address,53334
patuhi,53263
wtf,53258
baru,53245
rantai,53218
tni,52646
febrero,52547
fast,52501
climate,52475
tjhinfar21,52475
pro,52376
ele,52370
fine,52354
siempre,52307
tech,52239
hcq,52116
spoke,52093
médico,51628
spreader,51574
akan,51416
03,51183
justice,51116
mai,50814
prueba,50551
elect,50354
jul,50323
halloween,50296
misinformation,50275
nba,50031
keeping,49882
hospitalized,49767
pre,49414
même,49348
thearieair,49318
discuss,49286
mudik,49165
obamagate,49039
población,48898
vacinação,48773
terdampak,48648
kits,48598
harris,48522
medicine,48478
illness,48347
partisipasicegahcovid19,48212
endsars,48209
ohio,48192
pray,48119
claim,47953
noviembre,47932
tak,47588
salah,47454
friend,47160
disinfectant,47039
eine,46925
shots,46877
checks,46716
martes,46626
elderly,46509
selalu,46422
po,46348
premier,46289
95,45971
94,45940
pelo,45750
holidays,45620
capacity,45512
joke,45260
music,45200
wisconsin,45099
linked,45045
bible,44908
several,44763
stayhomesavelives,44761
areas,44474
hospitales,44399
project,44327
playing,44204
forced,44033
pays,43856
woodward,43831
revealed,43657
mari,43559
britain,43509
average,43305
pls,43237
till,43210
later,43192
jun,43188
quédateencasa,43118
jueves,43059
கள,43046
conference,43014
rusia,42982
ola,42977
bidenharris2020,42911
150,42865
wanted,42786
gatherings,42498
west,42489
putting,42422
water,42311
membantu,42204
pasien,42190
massive,42065
lady,41990
navidad,41968
led,41916
whether,41911
mata,41910
growth,41907
sosial,41867
mientras,41685
persons,41669
benefits,41579
wash,41476
importante,41157
vaccins,41131
foi,40996
trumphascovid,40991
usps,40936
car,40879
staying,40680
msnbc,40618
criminal,40420
melania,40269
curfew,40255
panic,40130
polmascegahcovid19,39672
wie,39494
cain,39350
violence,39051
siagalawancovid19,38996
tengah,38834
memerangi,38684
voters,38670
pencegahan,38539
mutation,38466
infectious,38399
tom,38367
begin,38346
account,38345
trillion,38339
ceo,38315
changed,38228
contagious,38058
