index,name,full_name,place_type,count
07d9db17db484002,Robert Allerton Park (Allerton Park and Retreat Center),Robert Allerton Park (Allerton Park and Retreat Center),poi,1
10c17796d6175005,Satellite City Hall,Satellite City Hall,poi,1
019d93833610122a,Morgan,"Morgan, UT",city,1
1136cf5f10d7b003,Walmart Supercenter,Walmart Supercenter,poi,1
944823725419dd20,Cortez,"Cortez, FL",city,1
00c7f00c1deb3fec,Lake Wissota,"Lake Wissota, WI",city,1
07d9f00a58880000,Lewisville Lake,Lewisville Lake,poi,1
07d9db11f9885001,NJT - New Brunswick Station (NEC),NJT - New Brunswick Station (NEC),poi,1
c0a33beab4228a50,Rockleigh,"Rockleigh, NJ",city,1
11b31bb456d4e000,Michaels,Michaels,poi,1
07dc13c9b8822002,Mercer University Main Campus,Mercer University Main Campus,poi,1
212ac7fc4d39bdb6,Chisholm,"Chisholm, ME",city,1
365836d55e19a2c6,Penn Quarter,"Penn Quarter, Washington",neighborhood,1
07d9c99a36084002,Edgewater,Edgewater,poi,1
07d9d63689884001,Downtown Oldwick,Downtown Oldwick,poi,1
0fc3b38d46d41001,Rockford Brewing Company,Rockford Brewing Company,poi,1
8ca173bdb98b95e9,Elsa,"Elsa, TX",city,1
07d9d2684d087000,Playhouse on Park,Playhouse on Park,poi,1
07d9dd27fe088000,1876 Heritage Inn,1876 Heritage Inn,poi,1
07d9d22d91885001,Victor Steinbrueck Park,Victor Steinbrueck Park,poi,1
0fc345d69454f000,Stanford Health Care Emergency Department,Stanford Health Care Emergency Department,poi,1
01a3a5591e954008,Abram,"Abram, TX",city,1
07d9ca41d9482004,Westville,Westville,poi,1
10954ebed196a001,Hope Breakfast Bar,Hope Breakfast Bar,poi,1
106426f66805bd92,Park Lane,"Park Lane, Dallas",neighborhood,1
07d9f3f665482000,"Rancho Mirage, CA","Rancho Mirage, CA",poi,1
07d9cd295cc86001,ALDI,ALDI,poi,1
07d9d373ce484002,Buckingham Park,Buckingham Park,poi,1
07d9db1ad6481001,Taco Bell,Taco Bell,poi,1
07d9dd8537c85001,"Germantown, WI","Germantown, WI",poi,1
07d9f32dba484000,Baltimore Polytechnic Institute,Baltimore Polytechnic Institute,poi,1
07d9f33d8f485000,Moore Square,Moore Square,poi,1
07d9e13674486000,First Presbyterian Church,First Presbyterian Church,poi,1
