location_id,count,name,full_name,place_type,lng,lat
a1839e9c3b5abff6,3431,Sunrise Manor,"Sunrise Manor, NV",city,-115.0416832678511,36.1847539
b49b3053b5c25bf5,3352,Denver,"Denver, CO",city,-104.962019138161,39.713563
ac88a4f17a51c7fc,3217,Portland,"Portland, OR",city,-122.60732213490436,45.53640175
6ffcf3b0b904bbcb,3067,Kentucky,"Kentucky, USA",admin,-84.7295671614416,37.822244
c0b8e8dc81930292,3035,Baltimore,"Baltimore, MD",city,-76.62048380456562,39.2926445
7dc5c6d3bfb10ccc,2972,Wisconsin,"Wisconsin, USA",admin,-89.72070373734817,44.900818
8e9665cec9370f0f,2917,Minneapolis,"Minneapolis, MN",city,-93.28405139905394,44.9706105
018929347840059e,2904,Indianapolis,"Indianapolis, IN",city,-86.14430670927794,39.7795625
2526edd24c06e60c,2877,Missouri,"Missouri, USA",admin,-92.49220937633564,38.3045585
319ee7b36c9149da,2768,Arlington,"Arlington, VA",city,-77.10772215455555,38.8808445
dd3b100831dd1763,2694,New Orleans,"New Orleans, LA",city,-90.07231277870817,29.993719
002e24c6736f069d,2584,Bronx,"Bronx, NY",city,-73.86638816286646,40.8559745
de599025180e2ee7,2540,Ohio,"Ohio, USA",admin,-82.70610174953815,40.3651595
5c2b5e46ab891f07,2510,Las Vegas,"Las Vegas, NV",city,-115.2709272692122,36.232915
67d92742f1ebf307,2503,Michigan,"Michigan, USA",admin,-84.50829855034348,45.001180000000005
04cb31bae3b3af93,2473,Miami,"Miami, FL",city,-80.26814918626413,25.7823537
dc62519fda13b4ec,2351,Tampa,"Tampa, FL",city,-82.500246606102,27.9965945
9807c5c5f7a2c6ce,2298,Minnesota,"Minnesota, USA",admin,-94.50251511286126,46.4418605
7f7d58e5229c6b6c,2297,Tennessee,"Tennessee, USA",admin,-86.31724965317903,35.8305215
e21c8e4914eef2b3,2292,Colorado,"Colorado, USA",admin,-105.5493604610016,38.997936
946ccd22e1c9cda1,2260,Pittsburgh,"Pittsburgh, PA",city,-79.97672232688824,40.4313888
b71fac2ee9792cbe,2163,Sacramento,"Sacramento, CA",city,-121.44972888106383,38.5617218
d374fb61a20fb74f,2098,Nevada,"Nevada, USA",admin,-116.66638900664358,38.502147
a612c69b44b2e5da,2058,Arizona,"Arizona, USA",admin,-111.6686921118503,34.16825365
161d2f18e3a0445a,2006,Raleigh,"Raleigh, NC",city,-78.62899696375717,35.8439812
813a485b26b8dae2,2002,Albuquerque,"Albuquerque, NM",city,-106.58221056974202,35.1102906
55b4f9e5c516e0b6,1953,Orlando,"Orlando, FL",city,-81.44033988230788,28.50167835
013379ee5729a5e6,1952,Tucson,"Tucson, AZ",city,-110.86705123874162,32.1893905
